id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
1283821,167516,1011,0.0,2,1.0,0.0,0.0,,,
1283822,167516,1014,0.29,2,1.0,0.27,0.3,,,
1283823,167516,1051,40.34,2,1.0,40.23,40.45,,,
1283824,167516,1057,0.0,0,39.0,,,,,
1283825,167516,1058,0.0,0,39.0,,,,,
1283826,167516,2000,4.3,2,1.0,3.36,5.24,,,
1283827,167516,1087,279.0,2,1.0,116.0,441.0,,,
1283828,167516,1092,126.0,2,1.0,109.0,142.0,,,
1283829,167516,1095,0.48,2,1.0,0.43,0.53,,,
1283830,167516,1103,9.5,2,1.0,9.0,10.1,,,
1283831,167516,1109,0.62,2,1.0,0.56,0.67,,,
1283832,167516,1123,63.0,0,39.0,,,,,
1283833,167516,1125,0.07,2,1.0,0.07,0.08,,,
1283834,167516,1126,4.03,2,1.0,3.64,4.42,,,
1283835,167516,1128,0.03,2,1.0,0.02,0.05,,,
1283836,167516,1129,0.0,2,1.0,0.0,0.0,,,
1283837,167516,1167,6.675,2,1.0,5.87,7.48,,,
1283838,167516,1170,0.24,2,1.0,0.22,0.26,,,
1283839,167516,1175,0.972,2,1.0,0.864,1.08,,,
1283840,167516,1186,49.0,2,1.0,43.0,54.0,,,
1283841,167516,1004,9.22,2,1.0,8.71,9.73,,,
1283842,167516,1005,41.05,0,49.0,,,,,
1283843,167516,1212,0.281,0,39.0,,,,,
1283844,167516,1213,0.489,0,39.0,,,,,
1283845,167516,1214,0.296,0,39.0,,,,,
1283846,167516,1216,0.154,0,39.0,,,,,
1284502,167524,1261,0.096,0,40.0,,,,,
1284503,167524,1263,0.833,0,40.0,,,,,
1284504,167524,1264,0.268,0,40.0,,,,,
1284505,167524,1272,0.002,0,40.0,,,,,
1284506,167524,1273,0.014,0,40.0,,,,,
1284507,167524,1274,0.0,0,40.0,,,,,
1284508,167524,1275,0.015,0,40.0,,,,,
1284509,167524,1278,0.0,0,40.0,,,,,
1284510,167524,1280,0.0,0,40.0,,,,,
1284511,167524,1301,0.0,0,40.0,,,,,
1284512,167524,1312,0.0,0,40.0,,,,,
1284513,167524,1185,9.3,0,40.0,,,,,
1284514,167524,1098,0.221,0,40.0,,,,,
1284515,167524,1101,0.393,0,40.0,,,,,
1284516,167524,1007,2.8,0,16.0,,,,,
1284517,167524,1018,0.0,0,40.0,,,,,
1284518,167524,1107,0.0,0,40.0,,,,,
1284519,167524,1108,0.0,0,40.0,,,,,
1284520,167524,1114,0.1,0,40.0,,,,,
1284521,167524,1120,0.0,0,40.0,,,,,
1284522,167524,1122,0.0,0,40.0,,,,,
1284523,167524,1162,0.0,1,44.0,,,,,
1284524,167524,1411,0.0,0,40.0,,,,,
1284525,167524,1057,10.0,0,40.0,,,,,
1284526,167524,1058,89.0,0,40.0,,,,,
1284527,167524,1103,13.1,0,40.0,,,,,
1284528,167524,1123,22.0,0,40.0,,,,,
1284529,167524,1170,0.218,0,40.0,,,,,
1284530,167524,1259,0.002,0,40.0,,,,,
1284531,167524,1260,0.008,0,40.0,,,,,
1284532,167524,1262,0.072,0,40.0,,,,,
1284533,167524,1265,1.685,0,40.0,,,,,
1284534,167524,1266,0.563,0,40.0,,,,,
1284535,167524,1267,0.024,0,40.0,,,,,
1284536,167524,1268,2.535,0,40.0,,,,,
1284537,167524,1269,2.916,0,40.0,,,,,
1284538,167524,1270,0.347,0,40.0,,,,,
1284539,167524,1271,0.007,0,40.0,,,,,
1284540,167524,1276,0.0,0,40.0,,,,,
1284541,167524,1277,0.013,0,40.0,,,,,
1284542,167524,1279,0.0,0,40.0,,,,,
1284543,167524,1180,15.9,0,40.0,,,,,
1284544,167524,1325,0.0,0,40.0,,,,,
1284545,167524,1005,45.68,0,49.0,,,,,
1284546,167524,1008,297.0,0,49.0,,,,,
1284547,167524,1186,59.0,0,41.0,,,,,
1284548,167524,1190,117.0,0,49.0,,,,,
1284549,167524,1062,1242.0,0,49.0,,,,,
1284550,167524,1105,429.0,0,51.0,,,,,
1284551,167524,1106,429.0,0,51.0,,,,,
1284552,167524,1187,16.0,0,41.0,,,,,
1284553,167524,1246,1.1,0,51.0,,,,,
1284554,167524,1079,1.5,0,47.0,,,,,
